TIMESTAMP;SPEED;ALTITUDE;TRIP;TEMPERATURE;FUEL;PERSONS;COUNT_TRIPS;ROUTE
05/04/2024 18:01;5;30;GO;21;BP;3;1;CITY
05/04/2024 18:01;21;30;GO;21;BP;3;1;CITY
05/04/2024 18:02;7;30;GO;21;BP;3;1;CITY
05/04/2024 18:02;7;30;GO;21;BP;3;1;CITY
05/04/2024 18:03;8;30;GO;21;BP;3;1;CITY
05/04/2024 18:03;15;32;GO;21;BP;3;1;CITY
05/04/2024 18:03;26;32;GO;21;BP;3;1;CITY
05/04/2024 18:04;43;32;GO;21;BP;3;1;CITY
05/04/2024 18:04;43;32;GO;21;BP;3;1;CITY
05/04/2024 18:05;26;32;GO;21;BP;3;1;CITY
05/04/2024 18:05;23;32;GO;21;BP;3;1;CITY
05/04/2024 18:05;35;32;GO;21;BP;3;1;CITY
05/04/2024 18:06;36;32;GO;21;BP;3;1;CITY
05/04/2024 18:06;0;32;GO;21;BP;3;1;CITY
05/04/2024 18:07;30;32;GO;21;BP;3;1;CITY
05/04/2024 18:07;41;32;GO;21;BP;3;1;CITY
05/04/2024 18:07;26;37;GO;21;BP;3;1;CITY
05/04/2024 18:08;29;37;GO;21;BP;3;1;CITY
05/04/2024 18:08;39;37;GO;21;BP;3;1;CITY
05/04/2024 18:09;31;37;GO;21;BP;3;1;CITY
05/04/2024 18:09;4;37;GO;21;BP;3;1;CITY
05/04/2024 18:10;18;43;GO;21;BP;3;1;CITY
05/04/2024 18:10;13;43;GO;21;BP;3;1;CITY
05/04/2024 18:10;28;43;GO;21;BP;3;1;CITY
05/04/2024 18:11;0;43;GO;21;BP;3;1;CITY
05/04/2024 18:11;14;43;GO;21;BP;3;1;CITY
05/04/2024 18:12;18;39;GO;21;BP;3;1;CITY
05/04/2024 18:12;15;39;GO;21;BP;3;1;CITY
05/04/2024 18:12;30;39;GO;21;BP;3;1;CITY
05/04/2024 18:13;20;39;GO;21;BP;3;1;CITY
05/04/2024 18:13;4;47;GO;21;BP;3;1;CITY
05/04/2024 18:14;5;47;GO;21;BP;3;1;CITY
05/04/2024 18:14;10;47;GO;21;BP;3;1;CITY
05/04/2024 18:14;13;47;GO;21;BP;3;1;CITY
05/04/2024 18:15;22;49;GO;21;BP;3;1;CITY
05/04/2024 18:15;23;49;GO;21;BP;3;1;CITY
05/04/2024 18:16;21;49;GO;21;BP;3;1;CITY
05/04/2024 18:16;7;50;GO;21;BP;3;1;CITY
05/04/2024 18:16;9;50;GO;21;BP;3;1;CITY
05/04/2024 18:17;10;50;GO;21;BP;3;1;CITY
05/04/2024 18:17;4;48;GO;21;BP;3;1;CITY
05/04/2024 18:18;3;49;GO;21;BP;3;1;CITY
05/04/2024 18:18;0;46;GO;21;BP;3;1;CITY
05/04/2024 18:47;0;46;RETURN;21;BP;3;2;CITY
05/04/2024 18:47;7;47;RETURN;21;BP;3;2;CITY
05/04/2024 18:47;0;46;RETURN;21;BP;3;2;CITY
05/04/2024 18:48;10;48;RETURN;21;BP;3;2;CITY
05/04/2024 18:48;18;47;RETURN;21;BP;3;2;CITY
05/04/2024 18:48;12;48;RETURN;21;BP;3;2;CITY
05/04/2024 18:48;13;48;RETURN;21;BP;3;2;CITY
05/04/2024 18:49;21;50;RETURN;21;BP;3;2;CITY
05/04/2024 18:49;9;50;RETURN;21;BP;3;2;CITY
05/04/2024 18:49;5;50;RETURN;21;BP;3;2;CITY
05/04/2024 18:49;9;49;RETURN;21;BP;3;2;CITY
05/04/2024 18:49;18;50;RETURN;21;BP;3;2;CITY
05/04/2024 18:50;24;49;RETURN;21;BP;3;2;CITY
05/04/2024 18:50;14;47;RETURN;21;BP;3;2;CITY
05/04/2024 18:50;24;48;RETURN;21;BP;3;2;CITY
05/04/2024 18:50;29;47;RETURN;21;BP;3;2;CITY
05/04/2024 18:51;22;47;RETURN;21;BP;3;2;CITY
05/04/2024 18:51;6;47;RETURN;21;BP;3;2;CITY
